#,color,size,content
1,256G 金色,套装五：搭配 店铺延保一年,颜色比图片上的更好看，质感非常好，整体很在线，试了一下拍摄，拍出来的画面确实很好看。
2,256G 苍岭绿色,套装一：搭配 90天碎屏保障,"外形外观：相当好看，从曲面屏回到直屏真不错
屏幕音效：好！
拍照效果：相当好，13pro拍照就是强
运行速度：新系统加新芯片杠杠滴
待机时间：很长，没有后台程序续航可以小撑一天"
3,256G 远峰蓝色,套装二：搭配 20W原充头,东西收到很快，外观特别好，屏幕清楚，运程度很好
4,256G 金色,套装一：搭配 90天品胜碎屏保障,"外形外观：两个字 高级。质感真的与众不同，我买的是金色，日落金的感觉，我认为是最好看的一个颜色。
屏幕音效：震动手感是一流，哒哒哒的感觉真的会上瘾。
拍照效果：还可以，但肯定不如安卓顶级旗舰，毕竟镜头硬件确实拉。
运行速度：很快，配合上13Pro的自适应高刷，纵享丝滑，同时还可以免除续航焦虑，十三香啊。"
5,128G 远峰蓝色,套装一：搭配 90天品胜碎屏保障,"外形外观：很棒 尺寸正合适
屏幕音效：顶级屏幕 音质也很棒
拍照效果：摄像感觉很棒 拍摄比拍照厉害
运行速度：没得说高刷新很舒服"
6,128G 金色（享一年延保）,套装一：搭配 90天碎屏保障,"很棒，是正品
买了这个12就可以退休了哈哈哈
外形外观：金灿灿的，很好看
屏幕音效：很棒，ios的音效从来没有让人失望过
拍照效果：这次13特别改进了拍照效果，肯定好评
运行速度：a15，不用问了
待机时间：大概五小时
其他特色：好看好看好看"
7,128G 远峰蓝色,套装一：搭配 90天碎屏保障,"外形外观：完美
屏幕音效：完美
拍照效果：好  清晰
运行速度：快
待机时间：长"
8,128G 远峰蓝色,套装一：搭配 90天品胜碎屏保障,"外形外观：挺好的，很圆润，也不会烙手
屏幕音效：声音很大，音效很好
拍照效果：就拍了2张还没感觉
运行速度：：相当快"
9,256G 石墨色,套装一：搭配 90天品胜碎屏保障,"外形外观：漂亮
屏幕音效：非常喜欢
拍照效果：很棒
运行速度：很快
待机时间：一天半"
10,256G 金色,套装二：搭配 20W原装闪充,发货速度很快很快，查过序列号，也没有激活过。是，前屏跟后屏也都没有问题，安全下车，放心啦。机子用起来很流畅，暂时没出现发热状态，很好用。13香。
11,256G 石墨色,套装三：搭配 12期白条免息,"外形外观：好看，大气
屏幕音效：清晰
拍照效果：好，清晰
运行速度：快"
12,256G 石墨色,套装二：搭配 20W原充头,古德古德    背面磨砂很舒服  摄像头也挺好的   颜值在线
13,256G 远峰蓝色,套装一：搭配 90天碎屏保障,没有瑕疵，用这挺舒服的，ppi好像460多，屏幕显示极其细腻，120自适应高刷体验非常棒，期待14p会有啥升级
14,256G 远峰蓝色,套装一：搭配 90天品胜碎屏保障,是真品，手机非常好用，原神能开120帧，太牛了，13香啊
15,128G 银色,套装二：搭配 20W原充头,"外形外观：选的白色，大气，特好看
运行速度：特快
待机时间：刚收到，还没正式使用"
16,256G 石墨色,套装二：搭配 20W原装闪充,手机还行，信号是真的差。
17,256G 石墨色,套装三：搭配 12期白条免息,全新正品国行未激活 手机也没问题 很好的一次购物体验
18,256G 远峰蓝色,套装二：搭配 20W原装闪充,苹果13pro收到了 外观很大气 颜色很绅士 功能强大 特别喜欢这个三个摄像头的样子 上手容易 运行速度超快
19,256G 金色（享一年延保）,套装三：搭配 12期白条免息,外观好看 很小巧 好用 很惊喜喜欢的很
20,256G 金色,套装一：搭配 90天品胜碎屏保障,"正版，已经是第二次购买了
外形外观：宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??
屏幕音效：宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买
拍照效果：真的超级喜欢，质量非常好，与卖家描述的一致！
待机时间：每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去"
21,256G 金色,套装一：搭配 90天品胜碎屏保障,"对象送的春节礼物?手感比12重一些，很有质感，操作很丝滑，香槟色配磨砂背板真的太好看了，有光的时候会透出金色，没有强光的时候看着就像白色，有种鎏金白的感觉，无敌赞啊！！！
拍照巨6，我不带眼镜的时候就拿这个手机当望远镜使了，百米清晰不在话下，而且春节物流也好快，下午买的第二天早上就到了，超级无敌赞，官网约了一个月的白色都没出库，还是京东方便(?&bull;?&omega;&bull;?)???(ゝ&omega;?&acute;★)"
22,128G 远峰蓝色,套装一：搭配 90天品胜碎屏保障,"帅还真全新 高级的手机 虽然很贵 但是非常建议购买 金色也很好看
屏幕音效：非常好
拍照效果：顶级
运行速度：无敌"
23,128G 石墨色,套装一：搭配 90天品胜碎屏保障,像素清晰   反应贼快，  是正品价格合适。嗯，在京东上买的，配送速度非常快，用的是京东物流。然后拆开包装，还好。感觉还行吧。岁月。推荐大家在这里买。就这样吧。加油加油加油。
24,256G 苍岭绿色,套装一：搭配 90天碎屏保障,特意用了几天来评价，这个颜色很奈斯，清爽，屏幕很高清，拍照拍视频也很清晰，手机反应也还可以，用来做直播不卡
25,128G 银色,套装一：搭配 90天品胜碎屏保障,对象送的春节礼物?手感比12重一些，很有质感，操作很丝滑，香槟色配磨砂背板真的太好看了，有光的时候会透出金色，没有强光的时候看着就像白色，有种鎏金白的感觉，无敌赞啊！！！拍照巨6，我不带眼镜的时候就拿这个手机当望远镜使了，百米清晰不在话下，而且春节物流也好快，下午买的第二天早上就到了，超级无敌赞，官网约了一个月的白色都没出库，还是京东方便(?&bull;?&omega;&bull;?)???(ゝ&omega;?&acute;★)
26,256G 石墨色（享一年延保）,套装二：搭配 20W原装闪充,"到货很快 客服回复速度也快
手机本身肯定没话说 毕竟快1W 
店铺送了延保一年 很实用
主要是妈妈收到礼物非常开心?"
27,256G 石墨色（享一年延保）,套装二：搭配 20W原装闪充,手机已收到，质量很好，体验不错。值得信赖！
28,256G 石墨色,套装一：搭配 90天品胜碎屏保障,手机全新未拆封，屏幕很大，屏幕很清晰   外观漂亮，质量很好，手感不错
29,128G 石墨色（享一年延保）,套装二：搭配 20W原装闪充,"一如既往的好，用习惯了苹果，
卖家发货速度很快，收到第一时间验机，没任何问题！
这次换了128的，足够用，运行速度明显比12有提升。"
30,256G 银色,套装一：搭配 90天碎屏保障,发货很快，iPhone13pro性能强劲，120hz高刷屏很丝滑，做工一流，银色绝美，不愧是苹果目前最强的旗舰机，十分满意
31,远峰蓝色,256GB,收到货了，啊，真香！长焦镜头yyds，拍照，拍视频绝了，个人也是非常喜欢拍照啥的。镜头很大，要比之前用的11大好多，凸出的感觉好高，但这并不影响，问题不大，哈哈。嗯，nice   外观没得说，好看。系统还是一样的丝滑。双扬听歌看视频都很舒服，音质很好。待机时间个人感觉还是有点短。
32,金色,256GB,"外形外观：漂亮，回归经典！比老的6sp整体要小一圈，但要厚一点，重量还重一点
屏幕音效：全面屏了嘛，机身小一点但是屏幕大。6.1英寸比老的6sp的5.5英寸要长一截，略微窄一点，音效非常好，对话身临其境
拍照效果：杠杠的，真实是苹果最大的优势，所拍即所见。隔了几代换机，简直是翻天覆地，三颗大摄像头，各司所职，比起12，光变增加到3倍，非常棒，终于基本赶上主流了。人像功能和电影模式非常好，傻瓜出片！暗光表现也很好，比肉眼所见整体亮度好像要稍微高一点，但明暗分明、符合真实的比例。
运行速度：运行速度：6sp的2G运存都依然流畅，更何况13pro提高到了6G运存。那丝滑感让人爱不释手。
待机时间：不错！正常中度使用，一天10小时够用，基本能剩40%左右。
其他特色：高刷！终于上了高刷，而且是独门秘笈自适应刷新率！提高体验，还能提高综合续航，反正肉眼只会感觉到高刷的升级感。

综述：13香！虽然13比13pro便宜了2000块，比12的起步价还便宜，貌似更具性价比。但是13pro比13提升很多，而且和promax的差距比上一代缩小了，所以综合重量手感便携等因素（给老婆用的）最终选择了13pro（promax续航再好也终究逃不过一天一充?）"
33,远峰蓝色,256GB,"电池续航：很好，充满用一整天都不用充，比之前的苹果手机经用很多。
通信音质：国行的信号还是可以的 。
显示效果：屏幕看起来很舒服 
拍照效果：拍照效果很nice 原相机自拍也很真实，相比之前的 这个拍起来感觉自带美颜功能 哈哈哈 真心喜欢 
运行速度：运行速度也很快，很喜欢。 
其他特色：远峰蓝很好看，哈哈 高大上"
34,石墨色,256GB,"17号赶紧抢了第一波，24号就到货了。本来已经用华为好几年了，买了宝马车才知道宝马跟苹果是有合作出无线Carplay的，刚好老的iPhone7在宝马无线Carplay已经发热到死机了，买了iPhone13可以当车机用，开了一下午车也没有怎么发热。
iPhone13新增加了微距很不错，树叶的纹路可以看得到很细腻，以后可以少带一个单反镜头出门了。
大家说的有鬼影是真的，我拍了车灯，立马就出来了。
至于电影摄像功能等过节找小伙伴一起再测试一下。"
35,远峰蓝色,128GB,13p香是真的香，蓝色好看，不是深蓝色的，金属质感手感很舒服。配置高。摄像头也很优秀，拍出来效果很棒，运行速度快，你值得拥有。各方面都还不错。香。
36,银色,256GB,"外形外观：哈哈，好看
屏幕音效：屏幕漂亮 音质好听
拍照效果：杠杠的，喜欢
运行速度：速度牛逼，快
待机时间：牛逼了，比12好多了
其他特色：价格可以，带发票，物流也很快！"
37,远峰蓝色,256GB,很流畅，高刷纵享丝滑！13pro256只能说早买早享受，拍照很给力，黑暗中绽放光芒，再也不用担心光线不好拍照不清楚了，继续使用观察，后续追评！
38,远峰蓝色,256GB,买了一个多月才来评论，体验非常好。第一、速度很快。相对于用了三年的iPhone X要快了很多；第二、摄像头霸气、对焦速度快、成像质量好；第三、iOS系统流畅、很好用，其次配合Mac使用，简直完美。
39,远峰蓝色,128GB,"外形外观：远蓝峰随着光线环境而改变颜色，手感很好，就是边框上容易留下指纹抗油污差，得带套使用
屏幕音效：声音音质浑厚
拍照效果：拍照效果杠杠的，没的说
运行速度：玩游戏反应速度非常快，自适应高刷
待机时间：不使用的情况下，大概一周左右"
40,石墨色,256GB,用了一段时间才来的评论，确实是感觉拿到手机还是觉得不一样的，倍有面子个人觉得哈（不喜勿喷）包括手机?流畅度很好，性能简直好的不行，入手这个苹果13pro是经过深思熟虑，而且买到也很喜欢??充电还是挺快的，现在是两部手机共用（苹果8P）功能这些有了巨大的提升，很喜欢拍照?的电影?效果，还有就是面容解锁，我感觉买了那么多东西，第一次写了那么长的好评评论，也是很高兴的，一如既往的支持京东，哈哈哈??????
41,远峰蓝色,256GB,"外形外观：不用说了，个人觉得蓝色的好看，
拍照效果：拍照也很清晰
待机时间：一天够用
运行速度：平时游戏流畅流畅爽歪歪，总之牛牛"
42,远峰蓝色,256GB,超高颜值.手感特别好！大小合适.对于男生来说.这重量绝对可以接受..很有质感！
43,金色,256GB,昨天晚上下单 今天中午就收到货了 ！苹果13pro ，东西很不错 从外观到反应速度 再到照相机的功能 都是非常的好 ！这一点使用过的人应该都知道。同时买了无线耳机 耳机的功能挺好，音质也非常好 总体满意 ！
44,金色,256GB,外形外观：边框金属质感很好；宽度合适，女生单手握感舒适；做工精致，品控良好，边角处无硌手感；金@泽均匀。屏幕音效：屏幕显示清晰细腻，无粉绿屏情况出现；直面屏视感好且不易碎裂。拍照效果：对景物本色还原好，长焦镜头拍照实际体验优秀；电影模式简单好用。运行速度：Pro版本下A15芯片、6G大运存配合IOS系统，运行速度快且杀后台情况几乎没有。待机时间：3000多毫安电池容量诚意更足，待机时长比上代版本有明显提升。其他特色：屏幕素质顶级，自适应高刷省电显示效果又有保障。更大容量电池，待机更长。已经查了各种序列号等，确定为原装正品。同时京东物流送货速度快，包装严实，服务态度好。
45,远峰蓝色,1TB,苹果品质 坚如磐石 值得信赖
46,远峰蓝色,128GB,"外形外观：很精致
屏幕音效：声音很大 音效不错
拍照效果：很清楚 相机有很多功能 电影效果就很不错?
运行速度：很流畅
待机时间：比以前的久点了
颜色很好看 摸起来很有质感"
47,石墨色,128GB,"拍照效果：拍照效果色彩真，图像细腻。电池续航：电
池续航有所提升，延长使用2小时 通信音质：音质干干净
净，背景没杂音，非常好 运行速度：A15运行速度没的
说，非常流畅，看视频打游戏得心应手 显示效果：超级视
网膜屏，色彩真，不伤眼睛 其他特色：第一时间来评
价，首先手机是国行正品，和商家描述的一样，运行速度
超级快，商家服务态度非常好。"
48,石墨色,256GB,很完美的一次购物体验，黑色这款一直没货，早上吃早餐无意中看到有货，立马就下单了，没想到上午9九点下单，下午四点多就到了，有种速度叫京东物流，包装完好无损，没有任何瑕疵。买的充电器套装，相当于只需加九块钱邮费，就可以得到苹果原装充电器，东哥帮苹果做了该做的事，真的超级划算。感谢京东～，可能是疫情原因才缺货吧，建议想要的小伙伴多多蹲一下～
49,远峰蓝色,256GB,手机使用很流畅，A15芯片我愿称作当代最强，外观没得说，拿在手上这质量无敌，电池续航强，手机各项功能还在摸索中，苹果的东西就是没得说，好评。
50,远峰蓝色,256GB,物流太快了，第二天就到了。宝贝很好，不得不说，客服态度也太好了吧！拍照功能很强大。夜景模式非常清晰。很亮。运行速度也是一流的。高刷屏幕非常丝滑，手机大小也很合适。拿着很舒服。续航能力有了很大提升。。。
51,远峰蓝色,256GB,"超好看的远峰蓝色！?
绝绝子的渐变色！13pro可以随着光线呈现渐变的白灰色！好看绝了！哈哈哈哈真的??
?光线暗的时候就跟白色一样一样的
?用12pm后置原图拍的！没有滤镜～  ???"
52,远峰蓝色,256GB,"外形外观：原来用的7p，可能习惯了，感觉原来的手感好。
屏幕音效：没得说，很好
拍照效果：清晰了很多
运行速度：很快啊，刷刷的
待机时间：刚拿到手，还不清楚
其他特色：不太会倒数据，感觉挺麻烦的"
53,远峰蓝色,128GB,"外形外观：经典的4s外观设计，我第一台苹果就是4s，之前还是用的nokiaE71，第一眼看到苹果手机还是朋友手上的4s，初看就觉得好漂亮，系统方面也很简洁，是我喜欢的设计，无论外观还是ios，后来买的首发6sp，就一直用到现在才换13p，大部分都很满意，除了价格和电池！
运行速度：跟我的6年的6sp比那肯定是流畅的不行了，用了这么久确实很卡了，不过现在也依旧还在服役了，真的坚挺，质量也没的说的，6年还在用的6sp依然使用中，舍不得它了都！
拍照效果：拍照方面平时用的还挺多，广角镜头很有用，成像效果个人觉得很不错了，就是放大拍的话还是不能看了哈！"
54,石墨色,256GB,"外形外观：没得说很不错，今年最好手机
屏幕音效：还未使用，后期反馈
拍照效果：刚刚的
运行速度：一个一块的不得了
待机时间：随便使用吧
其他特色：非常饿好哈哈哈的
本年度最好的手机，值得大家拥有"
55,远峰蓝色,128GB,"外形外观：颜色超级OK，喜爱
屏幕音效：音效不错哦
拍照效果：提升不错，效果挺好
待机时间：有待观察
运行速度：速度超级爽"
56,苍岭绿色,128GB,"手机收到?，颜色超级好看，超级超级好看，新绿色，很时尚，摄像曝光问题可以调整参数，很不错?，推荐推荐，已经在这入手两台了，很不错，推荐给同事了
不错不错?，送给女朋友的，她很喜欢?&hellip;&hellip;&hellip;&hellip;
爱不释手哦&hellip;&hellip;
外形外观：很好
屏幕音效：很顺畅
拍照效果：不错，拍人物曝光可以调整
运行速度：很快
待机时间：还不错
其他特色：颜色很好看"
57,远峰蓝色,256GB,"外形外观：很漂亮！
屏幕音效：很强大
拍照效果：无敌！
运行速度：快！
待机时间：长！
其他特色：用过后在评价吧！第一次用这个牌子！"
58,远峰蓝色,128GB,"外形外观：直角边框看着也不错，手感也可以，后背摄像头模组巨大，主要是max太大了，所以买的小pro
屏幕音效：双扬声器效果很好
拍照效果：不错，速度快，前置摄像头很自然
运行速度：好像挺快的，毕竟新手机
待机时间：能用一天"
59,石墨色,128GB,"外形外观：手感舒适！质地细腻！
屏幕音效：清晰明了！声音动听！
拍照效果：非常不错、
运行速度：感觉比11快了很多！
待机时间：不玩游戏一天下来还有68%！
其他特色：用了这么久，没感觉到发烫！以前用11充电都感觉烫！"
60,金色,256GB,"拍照效果：非常棒，尤其是广角，放大缩小很方便，业余短视频创作效果很理想
运行速度：流畅丝滑
外形外观：单手操作稍微费点劲，那是因为它屏幕大
屏幕音效：看个电影音效很棒"
61,远峰蓝色,256GB,收到货了，啊，真香！长焦镜头yyds，拍照，拍视频绝了，个人也是非常喜欢拍照啥的。镜头很大，要比之前用的11大好多，凸出的感觉好高，但这并不影响，问题不大，哈哈。嗯，nice   外观没得说，好看。系统还是一样的丝滑。双扬听歌看视频都很舒服，音质很好。待机时间个人感觉还是有点短。
62,金色,256GB,"外形外观：漂亮，回归经典！比老的6sp整体要小一圈，但要厚一点，重量还重一点
屏幕音效：全面屏了嘛，机身小一点但是屏幕大。6.1英寸比老的6sp的5.5英寸要长一截，略微窄一点，音效非常好，对话身临其境
拍照效果：杠杠的，真实是苹果最大的优势，所拍即所见。隔了几代换机，简直是翻天覆地，三颗大摄像头，各司所职，比起12，光变增加到3倍，非常棒，终于基本赶上主流了。人像功能和电影模式非常好，傻瓜出片！暗光表现也很好，比肉眼所见整体亮度好像要稍微高一点，但明暗分明、符合真实的比例。
运行速度：运行速度：6sp的2G运存都依然流畅，更何况13pro提高到了6G运存。那丝滑感让人爱不释手。
待机时间：不错！正常中度使用，一天10小时够用，基本能剩40%左右。
其他特色：高刷！终于上了高刷，而且是独门秘笈自适应刷新率！提高体验，还能提高综合续航，反正肉眼只会感觉到高刷的升级感。

综述：13香！虽然13比13pro便宜了2000块，比12的起步价还便宜，貌似更具性价比。但是13pro比13提升很多，而且和promax的差距比上一代缩小了，所以综合重量手感便携等因素（给老婆用的）最终选择了13pro（promax续航再好也终究逃不过一天一充?）"
63,远峰蓝色,256GB,"电池续航：很好，充满用一整天都不用充，比之前的苹果手机经用很多。
通信音质：国行的信号还是可以的 。
显示效果：屏幕看起来很舒服 
拍照效果：拍照效果很nice 原相机自拍也很真实，相比之前的 这个拍起来感觉自带美颜功能 哈哈哈 真心喜欢 
运行速度：运行速度也很快，很喜欢。 
其他特色：远峰蓝很好看，哈哈 高大上"
64,石墨色,256GB,"17号赶紧抢了第一波，24号就到货了。本来已经用华为好几年了，买了宝马车才知道宝马跟苹果是有合作出无线Carplay的，刚好老的iPhone7在宝马无线Carplay已经发热到死机了，买了iPhone13可以当车机用，开了一下午车也没有怎么发热。
iPhone13新增加了微距很不错，树叶的纹路可以看得到很细腻，以后可以少带一个单反镜头出门了。
大家说的有鬼影是真的，我拍了车灯，立马就出来了。
至于电影摄像功能等过节找小伙伴一起再测试一下。"
65,远峰蓝色,128GB,13p香是真的香，蓝色好看，不是深蓝色的，金属质感手感很舒服。配置高。摄像头也很优秀，拍出来效果很棒，运行速度快，你值得拥有。各方面都还不错。香。
66,银色,256GB,"外形外观：哈哈，好看
屏幕音效：屏幕漂亮 音质好听
拍照效果：杠杠的，喜欢
运行速度：速度牛逼，快
待机时间：牛逼了，比12好多了
其他特色：价格可以，带发票，物流也很快！"
67,远峰蓝色,256GB,很流畅，高刷纵享丝滑！13pro256只能说早买早享受，拍照很给力，黑暗中绽放光芒，再也不用担心光线不好拍照不清楚了，继续使用观察，后续追评！
68,远峰蓝色,256GB,买了一个多月才来评论，体验非常好。第一、速度很快。相对于用了三年的iPhone X要快了很多；第二、摄像头霸气、对焦速度快、成像质量好；第三、iOS系统流畅、很好用，其次配合Mac使用，简直完美。
69,远峰蓝色,128GB,"外形外观：远蓝峰随着光线环境而改变颜色，手感很好，就是边框上容易留下指纹抗油污差，得带套使用
屏幕音效：声音音质浑厚
拍照效果：拍照效果杠杠的，没的说
运行速度：玩游戏反应速度非常快，自适应高刷
待机时间：不使用的情况下，大概一周左右"
70,石墨色,256GB,用了一段时间才来的评论，确实是感觉拿到手机还是觉得不一样的，倍有面子个人觉得哈（不喜勿喷）包括手机?流畅度很好，性能简直好的不行，入手这个苹果13pro是经过深思熟虑，而且买到也很喜欢??充电还是挺快的，现在是两部手机共用（苹果8P）功能这些有了巨大的提升，很喜欢拍照?的电影?效果，还有就是面容解锁，我感觉买了那么多东西，第一次写了那么长的好评评论，也是很高兴的，一如既往的支持京东，哈哈哈??????
71,远峰蓝色,256GB,"外形外观：不用说了，个人觉得蓝色的好看，
拍照效果：拍照也很清晰
待机时间：一天够用
运行速度：平时游戏流畅流畅爽歪歪，总之牛牛"
72,远峰蓝色,256GB,超高颜值.手感特别好！大小合适.对于男生来说.这重量绝对可以接受..很有质感！
73,金色,256GB,昨天晚上下单 今天中午就收到货了 ！苹果13pro ，东西很不错 从外观到反应速度 再到照相机的功能 都是非常的好 ！这一点使用过的人应该都知道。同时买了无线耳机 耳机的功能挺好，音质也非常好 总体满意 ！
74,金色,256GB,外形外观：边框金属质感很好；宽度合适，女生单手握感舒适；做工精致，品控良好，边角处无硌手感；金@泽均匀。屏幕音效：屏幕显示清晰细腻，无粉绿屏情况出现；直面屏视感好且不易碎裂。拍照效果：对景物本色还原好，长焦镜头拍照实际体验优秀；电影模式简单好用。运行速度：Pro版本下A15芯片、6G大运存配合IOS系统，运行速度快且杀后台情况几乎没有。待机时间：3000多毫安电池容量诚意更足，待机时长比上代版本有明显提升。其他特色：屏幕素质顶级，自适应高刷省电显示效果又有保障。更大容量电池，待机更长。已经查了各种序列号等，确定为原装正品。同时京东物流送货速度快，包装严实，服务态度好。
75,远峰蓝色,1TB,苹果品质 坚如磐石 值得信赖
76,远峰蓝色,128GB,"外形外观：很精致
屏幕音效：声音很大 音效不错
拍照效果：很清楚 相机有很多功能 电影效果就很不错?
运行速度：很流畅
待机时间：比以前的久点了
颜色很好看 摸起来很有质感"
77,石墨色,128GB,"拍照效果：拍照效果色彩真，图像细腻。电池续航：电
池续航有所提升，延长使用2小时 通信音质：音质干干净
净，背景没杂音，非常好 运行速度：A15运行速度没的
说，非常流畅，看视频打游戏得心应手 显示效果：超级视
网膜屏，色彩真，不伤眼睛 其他特色：第一时间来评
价，首先手机是国行正品，和商家描述的一样，运行速度
超级快，商家服务态度非常好。"
78,石墨色,256GB,很完美的一次购物体验，黑色这款一直没货，早上吃早餐无意中看到有货，立马就下单了，没想到上午9九点下单，下午四点多就到了，有种速度叫京东物流，包装完好无损，没有任何瑕疵。买的充电器套装，相当于只需加九块钱邮费，就可以得到苹果原装充电器，东哥帮苹果做了该做的事，真的超级划算。感谢京东～，可能是疫情原因才缺货吧，建议想要的小伙伴多多蹲一下～
79,远峰蓝色,256GB,手机使用很流畅，A15芯片我愿称作当代最强，外观没得说，拿在手上这质量无敌，电池续航强，手机各项功能还在摸索中，苹果的东西就是没得说，好评。
80,远峰蓝色,256GB,物流太快了，第二天就到了。宝贝很好，不得不说，客服态度也太好了吧！拍照功能很强大。夜景模式非常清晰。很亮。运行速度也是一流的。高刷屏幕非常丝滑，手机大小也很合适。拿着很舒服。续航能力有了很大提升。。。
81,远峰蓝色,256GB,"超好看的远峰蓝色！?
绝绝子的渐变色！13pro可以随着光线呈现渐变的白灰色！好看绝了！哈哈哈哈真的??
?光线暗的时候就跟白色一样一样的
?用12pm后置原图拍的！没有滤镜～  ???"
82,远峰蓝色,256GB,"外形外观：原来用的7p，可能习惯了，感觉原来的手感好。
屏幕音效：没得说，很好
拍照效果：清晰了很多
运行速度：很快啊，刷刷的
待机时间：刚拿到手，还不清楚
其他特色：不太会倒数据，感觉挺麻烦的"
83,远峰蓝色,128GB,"外形外观：经典的4s外观设计，我第一台苹果就是4s，之前还是用的nokiaE71，第一眼看到苹果手机还是朋友手上的4s，初看就觉得好漂亮，系统方面也很简洁，是我喜欢的设计，无论外观还是ios，后来买的首发6sp，就一直用到现在才换13p，大部分都很满意，除了价格和电池！
运行速度：跟我的6年的6sp比那肯定是流畅的不行了，用了这么久确实很卡了，不过现在也依旧还在服役了，真的坚挺，质量也没的说的，6年还在用的6sp依然使用中，舍不得它了都！
拍照效果：拍照方面平时用的还挺多，广角镜头很有用，成像效果个人觉得很不错了，就是放大拍的话还是不能看了哈！"
84,石墨色,256GB,"外形外观：没得说很不错，今年最好手机
屏幕音效：还未使用，后期反馈
拍照效果：刚刚的
运行速度：一个一块的不得了
待机时间：随便使用吧
其他特色：非常饿好哈哈哈的
本年度最好的手机，值得大家拥有"
85,远峰蓝色,128GB,"外形外观：颜色超级OK，喜爱
屏幕音效：音效不错哦
拍照效果：提升不错，效果挺好
待机时间：有待观察
运行速度：速度超级爽"
86,苍岭绿色,128GB,"手机收到?，颜色超级好看，超级超级好看，新绿色，很时尚，摄像曝光问题可以调整参数，很不错?，推荐推荐，已经在这入手两台了，很不错，推荐给同事了
不错不错?，送给女朋友的，她很喜欢?&hellip;&hellip;&hellip;&hellip;
爱不释手哦&hellip;&hellip;
外形外观：很好
屏幕音效：很顺畅
拍照效果：不错，拍人物曝光可以调整
运行速度：很快
待机时间：还不错
其他特色：颜色很好看"
87,远峰蓝色,256GB,"外形外观：很漂亮！
屏幕音效：很强大
拍照效果：无敌！
运行速度：快！
待机时间：长！
其他特色：用过后在评价吧！第一次用这个牌子！"
88,远峰蓝色,128GB,"外形外观：直角边框看着也不错，手感也可以，后背摄像头模组巨大，主要是max太大了，所以买的小pro
屏幕音效：双扬声器效果很好
拍照效果：不错，速度快，前置摄像头很自然
运行速度：好像挺快的，毕竟新手机
待机时间：能用一天"
89,石墨色,128GB,"外形外观：手感舒适！质地细腻！
屏幕音效：清晰明了！声音动听！
拍照效果：非常不错、
运行速度：感觉比11快了很多！
待机时间：不玩游戏一天下来还有68%！
其他特色：用了这么久，没感觉到发烫！以前用11充电都感觉烫！"
90,金色,256GB,"拍照效果：非常棒，尤其是广角，放大缩小很方便，业余短视频创作效果很理想
运行速度：流畅丝滑
外形外观：单手操作稍微费点劲，那是因为它屏幕大
屏幕音效：看个电影音效很棒"
91,远峰蓝色,256GB,收到货了，啊，真香！长焦镜头yyds，拍照，拍视频绝了，个人也是非常喜欢拍照啥的。镜头很大，要比之前用的11大好多，凸出的感觉好高，但这并不影响，问题不大，哈哈。嗯，nice   外观没得说，好看。系统还是一样的丝滑。双扬听歌看视频都很舒服，音质很好。待机时间个人感觉还是有点短。
