#,color,size,content
182,远峰蓝色,99新【512G】,视频效果真的没有的说啦&hellip;&hellip;三倍效果也不损失，不错，关键机器很新很新，买苹果手机主要是为了拍视频，而且这个电影模式真是太酷啦&hellip;&hellip;
183,银色,99新【512G】,手机是资源机挺好，成色非常靓，而且价格也比新机便宜好多 而且这里一样提供1年质保，可以放心使用，我买的白色颜值确实也挺不错
184,银色,99新【256G】,成色很靓，很新，性价比很高，值得购买。比官网优惠1千多，还送配件和钢化膜，绝对是全新没有人用过的，什么99新二手机，就是没有盒子包装，太赞了。
185,石墨色,99新【128G】,一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o正品，买的放心，价钱也公道，满意！非常值得信赖的品牌，质量有保障，价格还亲民，相当满意以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！宝贝特别喜欢，颜值高质量好，中看又中用，有需要的朋友不要犹豫了，最后祝商家生意兴隆！?看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！?
186,石墨色,99新【128G】,全新，十分满意
187,银色,99新【256G】,发货很快，给发的京东快递，比预想的快很多，隔天就收到了，打包的很严实，从包装到里面配件再到外观，全部检查了一遍是全新手机，手机做工很精美:手感很舒适激活后把玩了一下，装了很多软件。使用起来很流畅，自前还没有卡顿现象，拍照也不错， 随手拍了些室内照片，还是很棒的
188,远峰蓝色,99新【512G】,对资源机有看法的不要买，自己用这种机器还是很实惠的
189,远峰蓝色,99新【256G】,机器正规渠道，充电两次。很完美的一次购物。值得信赖谢谢小哥哥小姐姐送的原装充电器和手机壳贴膜。
190,远峰蓝色,99新【128G】,真的99新，很新的机器，希望是国行正品
191,远峰蓝色,99新【256G】,发货及时下单第二天就到了。蓝色非常好看，价格很实惠。手机总体成色满意，充电3次健康100%，用了一个星期没有任何毛病。
192,银色,99新【256G】,发货很快，已经收到货了，手机用起来很顺畅、舒服的很，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评~
193,银色,99新【128G】,手机非常好用 电池效率高
194,石墨色,99新【512G】,手机成色不错。。。。。。使用起来顺畅，画面很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
195,石墨色,99新【128G】,很完美，这就是妥妥的新机！
196,远峰蓝色,99新【512G】,屏幕上大大小小20几处划痕，有深有浅和描述还是有很大区别的。这次京东物流到上海后5天不送货，直到前一天晚上我申请退单了第二天一早8点不到就给我送货。注意是京东快递。我实在不想搞了，手机性价比还是可以的，电池也是100%。机器还没怎么测试相信应该没问题。各位要买二手的见仁见智吧！京东我是再也不会买了。
197,远峰蓝色,99新【256G】,很流畅，99新没有任何划痕，和新机器没有区别！便宜了一千多，赠送的充电器、钢化膜和手机壳都一起到了，很及时
198,远峰蓝色,99新【256G】,发货很快，东西很好，手机用起来很顺畅 ，客服还送了手机壳和手机膜，关键是价格各方面都很不错，机器也很新，好评！！！???
199,石墨色,99新【256G】,很好用
200,石墨色,99新【256G】,"非常满意，成色很靓，很新，性价比很高，值得购买。比官网优惠1千多，还送配件和钢化膜，绝对是全新没有人用过的，什么99新二手机，就是没有盒子
包装，非常赞了。"
201,远峰蓝色,99新【128G】,好漂亮的手机，完全和新机无异！！！完全和描述符合。
202,远峰蓝色,99新【128G】,手机很好 嘎嘎新外观很亮 电池100 跟新的没如何区别
203,远峰蓝色,99新【512G】,媲美原装新机，非常棒，很愉快的一次购物。
204,石墨色,99新【256G】,手机刚收到很新成色很靓，而且商家送了好多赠品膜壳还送了快充线，电池100挺好的。客服服务态度也很好！下次回购！
205,银色,99新【256G】,京东商城618价格常满意！机器不要让我失望呀！
206,石墨色,99新【128G】,虽说是资源机，和新机没有什么区别，用起来也非常流畅，还比新机联系一千多，非常的值，还送了手机壳，两片钢化膜，还有快充设备，非常不错的一次购物体验。
207,远峰蓝色,99新【256G】,不错，手机很新，很流畅，爱思全绿，通过专业验机之后，确实是资源机。iPhone 13 Pro高刷非常好，很满意。物流速度也很快。
208,远峰蓝色,99新【256G】,是正品很好用，价格便宜了很多，性价比超高，真的特别划算，之前怕是拆修机，收到货后查看没任何问题，包装也很高端大气上档次，值得购买
209,银色,99新【256G】,非常满意的一次购物，宝贝无论款式还是颜色都非常棒！质量绝对过关，非常成功的一次网购，很好，防风不错，可以的啊，不错不错的了
210,远峰蓝色,99新【256G】,非常好跟全新一样还很满意
211,远峰蓝色,256GB,收到货了，啊，真香！长焦镜头yyds，拍照，拍视频绝了，个人也是非常喜欢拍照啥的。镜头很大，要比之前用的11大好多，凸出的感觉好高，但这并不影响，问题不大，哈哈。嗯，nice   外观没得说，好看。系统还是一样的丝滑。双扬听歌看视频都很舒服，音质很好。待机时间个人感觉还是有点短。
212,金色,256GB,"外形外观：漂亮，回归经典！比老的6sp整体要小一圈，但要厚一点，重量还重一点
屏幕音效：全面屏了嘛，机身小一点但是屏幕大。6.1英寸比老的6sp的5.5英寸要长一截，略微窄一点，音效非常好，对话身临其境
拍照效果：杠杠的，真实是苹果最大的优势，所拍即所见。隔了几代换机，简直是翻天覆地，三颗大摄像头，各司所职，比起12，光变增加到3倍，非常棒，终于基本赶上主流了。人像功能和电影模式非常好，傻瓜出片！暗光表现也很好，比肉眼所见整体亮度好像要稍微高一点，但明暗分明、符合真实的比例。
运行速度：运行速度：6sp的2G运存都依然流畅，更何况13pro提高到了6G运存。那丝滑感让人爱不释手。
待机时间：不错！正常中度使用，一天10小时够用，基本能剩40%左右。
其他特色：高刷！终于上了高刷，而且是独门秘笈自适应刷新率！提高体验，还能提高综合续航，反正肉眼只会感觉到高刷的升级感。

综述：13香！虽然13比13pro便宜了2000块，比12的起步价还便宜，貌似更具性价比。但是13pro比13提升很多，而且和promax的差距比上一代缩小了，所以综合重量手感便携等因素（给老婆用的）最终选择了13pro（promax续航再好也终究逃不过一天一充?）"
213,远峰蓝色,256GB,"电池续航：很好，充满用一整天都不用充，比之前的苹果手机经用很多。
通信音质：国行的信号还是可以的 。
显示效果：屏幕看起来很舒服 
拍照效果：拍照效果很nice 原相机自拍也很真实，相比之前的 这个拍起来感觉自带美颜功能 哈哈哈 真心喜欢 
运行速度：运行速度也很快，很喜欢。 
其他特色：远峰蓝很好看，哈哈 高大上"
214,石墨色,256GB,"17号赶紧抢了第一波，24号就到货了。本来已经用华为好几年了，买了宝马车才知道宝马跟苹果是有合作出无线Carplay的，刚好老的iPhone7在宝马无线Carplay已经发热到死机了，买了iPhone13可以当车机用，开了一下午车也没有怎么发热。
iPhone13新增加了微距很不错，树叶的纹路可以看得到很细腻，以后可以少带一个单反镜头出门了。
大家说的有鬼影是真的，我拍了车灯，立马就出来了。
至于电影摄像功能等过节找小伙伴一起再测试一下。"
215,远峰蓝色,128GB,13p香是真的香，蓝色好看，不是深蓝色的，金属质感手感很舒服。配置高。摄像头也很优秀，拍出来效果很棒，运行速度快，你值得拥有。各方面都还不错。香。
216,银色,256GB,"外形外观：哈哈，好看
屏幕音效：屏幕漂亮 音质好听
拍照效果：杠杠的，喜欢
运行速度：速度牛逼，快
待机时间：牛逼了，比12好多了
其他特色：价格可以，带发票，物流也很快！"
217,远峰蓝色,256GB,很流畅，高刷纵享丝滑！13pro256只能说早买早享受，拍照很给力，黑暗中绽放光芒，再也不用担心光线不好拍照不清楚了，继续使用观察，后续追评！
218,远峰蓝色,256GB,买了一个多月才来评论，体验非常好。第一、速度很快。相对于用了三年的iPhone X要快了很多；第二、摄像头霸气、对焦速度快、成像质量好；第三、iOS系统流畅、很好用，其次配合Mac使用，简直完美。
219,远峰蓝色,128GB,"外形外观：远蓝峰随着光线环境而改变颜色，手感很好，就是边框上容易留下指纹抗油污差，得带套使用
屏幕音效：声音音质浑厚
拍照效果：拍照效果杠杠的，没的说
运行速度：玩游戏反应速度非常快，自适应高刷
待机时间：不使用的情况下，大概一周左右"
220,石墨色,256GB,用了一段时间才来的评论，确实是感觉拿到手机还是觉得不一样的，倍有面子个人觉得哈（不喜勿喷）包括手机?流畅度很好，性能简直好的不行，入手这个苹果13pro是经过深思熟虑，而且买到也很喜欢??充电还是挺快的，现在是两部手机共用（苹果8P）功能这些有了巨大的提升，很喜欢拍照?的电影?效果，还有就是面容解锁，我感觉买了那么多东西，第一次写了那么长的好评评论，也是很高兴的，一如既往的支持京东，哈哈哈??????
221,远峰蓝色,256GB,"外形外观：不用说了，个人觉得蓝色的好看，
拍照效果：拍照也很清晰
待机时间：一天够用
运行速度：平时游戏流畅流畅爽歪歪，总之牛牛"
222,远峰蓝色,256GB,超高颜值.手感特别好！大小合适.对于男生来说.这重量绝对可以接受..很有质感！
223,金色,256GB,昨天晚上下单 今天中午就收到货了 ！苹果13pro ，东西很不错 从外观到反应速度 再到照相机的功能 都是非常的好 ！这一点使用过的人应该都知道。同时买了无线耳机 耳机的功能挺好，音质也非常好 总体满意 ！
224,金色,256GB,外形外观：边框金属质感很好；宽度合适，女生单手握感舒适；做工精致，品控良好，边角处无硌手感；金@泽均匀。屏幕音效：屏幕显示清晰细腻，无粉绿屏情况出现；直面屏视感好且不易碎裂。拍照效果：对景物本色还原好，长焦镜头拍照实际体验优秀；电影模式简单好用。运行速度：Pro版本下A15芯片、6G大运存配合IOS系统，运行速度快且杀后台情况几乎没有。待机时间：3000多毫安电池容量诚意更足，待机时长比上代版本有明显提升。其他特色：屏幕素质顶级，自适应高刷省电显示效果又有保障。更大容量电池，待机更长。已经查了各种序列号等，确定为原装正品。同时京东物流送货速度快，包装严实，服务态度好。
225,远峰蓝色,1TB,苹果品质 坚如磐石 值得信赖
226,远峰蓝色,128GB,"外形外观：很精致
屏幕音效：声音很大 音效不错
拍照效果：很清楚 相机有很多功能 电影效果就很不错?
运行速度：很流畅
待机时间：比以前的久点了
颜色很好看 摸起来很有质感"
227,石墨色,128GB,"拍照效果：拍照效果色彩真，图像细腻。电池续航：电
池续航有所提升，延长使用2小时 通信音质：音质干干净
净，背景没杂音，非常好 运行速度：A15运行速度没的
说，非常流畅，看视频打游戏得心应手 显示效果：超级视
网膜屏，色彩真，不伤眼睛 其他特色：第一时间来评
价，首先手机是国行正品，和商家描述的一样，运行速度
超级快，商家服务态度非常好。"
228,石墨色,256GB,很完美的一次购物体验，黑色这款一直没货，早上吃早餐无意中看到有货，立马就下单了，没想到上午9九点下单，下午四点多就到了，有种速度叫京东物流，包装完好无损，没有任何瑕疵。买的充电器套装，相当于只需加九块钱邮费，就可以得到苹果原装充电器，东哥帮苹果做了该做的事，真的超级划算。感谢京东～，可能是疫情原因才缺货吧，建议想要的小伙伴多多蹲一下～
229,远峰蓝色,256GB,手机使用很流畅，A15芯片我愿称作当代最强，外观没得说，拿在手上这质量无敌，电池续航强，手机各项功能还在摸索中，苹果的东西就是没得说，好评。
230,远峰蓝色,256GB,物流太快了，第二天就到了。宝贝很好，不得不说，客服态度也太好了吧！拍照功能很强大。夜景模式非常清晰。很亮。运行速度也是一流的。高刷屏幕非常丝滑，手机大小也很合适。拿着很舒服。续航能力有了很大提升。。。
231,远峰蓝色,256GB,"超好看的远峰蓝色！?
绝绝子的渐变色！13pro可以随着光线呈现渐变的白灰色！好看绝了！哈哈哈哈真的??
?光线暗的时候就跟白色一样一样的
?用12pm后置原图拍的！没有滤镜～  ???"
232,远峰蓝色,256GB,"外形外观：原来用的7p，可能习惯了，感觉原来的手感好。
屏幕音效：没得说，很好
拍照效果：清晰了很多
运行速度：很快啊，刷刷的
待机时间：刚拿到手，还不清楚
其他特色：不太会倒数据，感觉挺麻烦的"
233,远峰蓝色,128GB,"外形外观：经典的4s外观设计，我第一台苹果就是4s，之前还是用的nokiaE71，第一眼看到苹果手机还是朋友手上的4s，初看就觉得好漂亮，系统方面也很简洁，是我喜欢的设计，无论外观还是ios，后来买的首发6sp，就一直用到现在才换13p，大部分都很满意，除了价格和电池！
运行速度：跟我的6年的6sp比那肯定是流畅的不行了，用了这么久确实很卡了，不过现在也依旧还在服役了，真的坚挺，质量也没的说的，6年还在用的6sp依然使用中，舍不得它了都！
拍照效果：拍照方面平时用的还挺多，广角镜头很有用，成像效果个人觉得很不错了，就是放大拍的话还是不能看了哈！"
234,石墨色,256GB,"外形外观：没得说很不错，今年最好手机
屏幕音效：还未使用，后期反馈
拍照效果：刚刚的
运行速度：一个一块的不得了
待机时间：随便使用吧
其他特色：非常饿好哈哈哈的
本年度最好的手机，值得大家拥有"
235,远峰蓝色,128GB,"外形外观：颜色超级OK，喜爱
屏幕音效：音效不错哦
拍照效果：提升不错，效果挺好
待机时间：有待观察
运行速度：速度超级爽"
236,苍岭绿色,128GB,"手机收到?，颜色超级好看，超级超级好看，新绿色，很时尚，摄像曝光问题可以调整参数，很不错?，推荐推荐，已经在这入手两台了，很不错，推荐给同事了
不错不错?，送给女朋友的，她很喜欢?&hellip;&hellip;&hellip;&hellip;
爱不释手哦&hellip;&hellip;
外形外观：很好
屏幕音效：很顺畅
拍照效果：不错，拍人物曝光可以调整
运行速度：很快
待机时间：还不错
其他特色：颜色很好看"
237,远峰蓝色,256GB,"外形外观：很漂亮！
屏幕音效：很强大
拍照效果：无敌！
运行速度：快！
待机时间：长！
其他特色：用过后在评价吧！第一次用这个牌子！"
238,远峰蓝色,128GB,"外形外观：直角边框看着也不错，手感也可以，后背摄像头模组巨大，主要是max太大了，所以买的小pro
屏幕音效：双扬声器效果很好
拍照效果：不错，速度快，前置摄像头很自然
运行速度：好像挺快的，毕竟新手机
待机时间：能用一天"
239,石墨色,128GB,"外形外观：手感舒适！质地细腻！
屏幕音效：清晰明了！声音动听！
拍照效果：非常不错、
运行速度：感觉比11快了很多！
待机时间：不玩游戏一天下来还有68%！
其他特色：用了这么久，没感觉到发烫！以前用11充电都感觉烫！"
240,金色,256GB,"拍照效果：非常棒，尤其是广角，放大缩小很方便，业余短视频创作效果很理想
运行速度：流畅丝滑
外形外观：单手操作稍微费点劲，那是因为它屏幕大
屏幕音效：看个电影音效很棒"
241,星光色,256GB,iPhone13真的太惊艳了，比较爱玩游戏，最喜欢是就是iPhone了，打游戏完全不会卡顿。之前的手机是内存不够，心心念念的手机终于到手了。13的运行速度非常快，打游戏真的太流畅了，真的非常喜欢这个手机。外观很好看，手感拿着很有质感，屏幕看着非常好，拍照效果很不错，像素高了，新机拍照片怎么都好看。5G高速运行，超长待机一整天。颜色也好看，白色看起来简单大气，非常的干净整洁。运行非常流畅，屏幕显示细腻，给人很舒服的感觉，而且相机夜景提升很大，拍出来的效果堪比佳能相机。之前的手机内存不够了，这次趁着活动购买的，直接卖的是256G的，这下就不怕内存不足了，性价比比较高。待时间不用可以一天时间，刷视频就不行，不过充电时间快，还是非常喜欢这个手机的。而且色彩的优化升级很好，百搭的白色款式。特意使用了半个月，体验感非常好，有经典一代的感觉。
242,粉色,128GB,iPhone13手机收到了，粉色也太好看了吧，真的很喜欢这款手机。真的是一款很不错的手机，手感非常舒服，握持感非常舒服。感觉拍照效果比之前12提升了很多，新一代运行速度快了很多，系统非常流畅，真的很喜欢了。电池也还不错，正常使用，一天到晚上还有百分之30左右。玩游戏也不会发烫，温度都能接受。拍照技术含量高，自带美颜效率非常好，前置摄像头有亮点，非常喜欢！防抖功能也超级赞！音乐播放的音效也特别满意，手机边框手感特别舒服。对于女生来说，拍照打游戏还是很喜欢的。不过单手操作的话还是mini强！音质非常好，屏幕显示细腻色彩饱满，拍照色彩还原度不错，夜景画面比较纯净。使用了一周了，感觉使用感受非常好，外观也好看，摄像有所升级，比12有改进，增加了电影模式太好了，满足了日常需求。电池比以前的要大，充一次电可以用一整天了，总体感觉挺满意的。
243,午夜色,128GB,iPhone 13手机很快就拿到了，打开非常的惊喜呀，非常大气的13手机。我买的是128GB的，这个就够我用了，很好看的手机，我觉得午夜色非常的大气，很有感觉的一部手机。外形非常好看，拿在手里也是非常的舒服，手感很好！手机背面是玻璃亮镜面的材质，这种磨砂与亮面的搭配，看上去非常时尚大气，外观看上去很上档次，方正的外观设计给人感觉非常稳重，很经典的设计。不过还有一点就是今年这款iPhone13的外观设计，跟上一代iPhone12改变不大。一直就是很喜欢苹果手机，就是因为它的系统流畅，升级的A15处理器有不少的省电提升，还有对5G网络的优化，而且还有20W的快充设计，被称为最强的手机。13的拍照也提升了，拍照很清晰，能够满足日常使用，新加的拍视频电影效果很不错。而且手机的待机时间也提升了，音效也很好，运行速度非常快。用了一个星期了，各方面都挺好的！非常满意的一次购物！
244,蓝色,128GB,"外形外观：颜值很高
屏幕音效：声音比之前的苹果手机大 ，音效很好
拍照效果：清晰&hellip;&hellip;&hellip;&hellip;
运行速度：快&hellip;&hellip;&hellip;&hellip;
待机时间：还有待加强&hellip;&hellip;
其他特色：用时间长了 还是会发热"
245,星光色,256GB,"这是第一次在京东上买手机，比较放心，也省事方便，家电电器都是在京东买，安全可靠。手机拿到手已经试了下，感觉很好，颜色也很好看，喜欢?。
外形外观：白色
屏幕音效：好
拍照效果：真实
运行速度：好
待机时间：暂时不知道
其他特色：?"
246,午夜色,128GB,一直在用的是苹果系统，这次看到活动，就来购买 iPhone 13了，活动价格是我能够接受的。还是喜欢黑色，非常的炫酷，外观非常漂亮，屏幕优化升级了，最值得期待的还是系统，这次的系统升级真的超级流畅，速度非常快。新款的手机非常多的功能，先说下屏幕吧，就是一眼看过去精细度、色温、色准都很不错，屏幕亮度不错，太阳下看屏幕也很舒服。再就是音效，杜比音效是自动的，低音效果需要开大音量才能体现出来。苹果的系统也是很强大的，iOS系统流畅性和稳定性。120hz的屏幕，日常屏幕操作跟应用和桌面的切换顺滑。系统稳定性十分好，一直喜欢用苹果的手机。还有就是摄像头了，新增了不少摄像模式，比如夜晚的拍照非常好，对环境的辨识度非常高。A15处理器有不少的省电提升，还有对5G网络的优化。充电速度也是很快的，刚用的20W快充技术加持，电池待机效果明显的提升。
247,粉色,256GB,"手机外形很漂免流畅益物
肆。仟拿的，
法供中浩；自然点
颜色很正，开机：教活
递等过程星无向頭．利番上车话
卡开机，就有电话送：
晰。试了照相．京儀等功菲
个了。外观很好看
有质感、屏幕看
效果 很不错、像素高了
照片怎么都好看。5G高遠逗行
超长待机一整天．颜合世好看，
白色看起来简单大气，非幕会平
净整洁。运行非
示细腻，给人很舒
且椙机夜景提升"
248,蓝色,128GB,"21号抢的，说是30号发货，25号就收到了，满满的惊喜！
用了几天才来评论：
第一感觉就是盒子太小气，一点都不高大上，拿出手机的瞬间还是蛮惊艳的！颜色很满意！
反应速度杠杠的，6.1的直面屏，刘海明显小了一圈，显示清晰，最喜欢的是直面屏可以贴钢化膜了。
6.1不会显得小，也不会太大，手感很奈斯  单手操作还是mini强！
唯一不好的就是信号比别的少一格，wifi挺强的！
扬声器声音开到最大没有了层次感，跟个普通喇叭似的。
电池续航很棒，这个是最满意的了！
iohone7后一直用华为，熬不住想换5g手机，华为又没有，再三考虑买了一个13。   相对于还是喜欢华为的续航信号！  商品爱好而已，无关于爱国，请勿喷我！"
249,星光色,256GB,"外形外观：百搭的白色款式 白里透着淡淡的金色
屏幕音效：清晰明亮的色彩 优化升级
拍照效果：滤镜自带美颜效果非常特别 前置摄像头也有亮点 优化升级
运行速度：无敌超级快 灵敏度极好 完全没有任何问题
待机时间：待时间不用可以一天时间 刷就不行 一般 不过充电时间快
其他特色：刷脸支付支解锁 颜色白色好看 不过好不容易抢到的"
250,蓝色,256GB,快递给力，包装四角尖尖。手机外观如图，蓝色很好看，很耐看，沉稳大气不俗气。手机整体感觉很好，没什么惊艳的地方，也没有什么短板，用起来心里感觉很踏实，像一个可靠的伙伴。好的地方，有相机，照片拍出来很真实，颜色亮丽，拍人物很清晰，会把人从背景里衬托出来。逆光也清晰！续航也不错，轻度使用一天可能就掉个百分之十五到二十的电量。重度使用一天，电量也足够了，无需中间充电。处理器速度已经足够快了，日常使用没有任何卡顿。总体感觉不错，是一次很愉快的购物体验。
251,星光色,512GB,发货快，包装严实，各方面都没破损，机子星光色好看，颜值很高，耐看，打开网页丝滑顺畅，游戏不掉帧，分辨率高，功能很齐全，比12多了许多，人脸识别快捷灵敏，，黑暗拍照清晰无差异，音质清脆，待机时间超长，一天重度七八个小时，一天一冲，耐用性大大提高，爱了爱了
252,星光色,128GB,"外形外观：星空色，外观给我一种很惊艳的感觉，特别是星空色，搭配上这个颜色简直绝了?
屏幕音效：双喇叭扬声器很nice?
拍照效果：拍照、录像效果可以说是非常好?，直接把我之前那个Max秒杀
运行速度：A15速度还是很快的，加上iOS15的加持，手机很流畅
待机时间：续航方面相对比12 提升了很多，满电玩了3小时吃鸡还剩40多电量 还是非常不错的?"
253,粉色,256GB,"真的越看越喜欢?太赞啦，手感超棒，画质超清晰裸机还是不太放心的，给手机买了个壳。而且我前一天买的 第二天就到啦 很快
外形外观：很nice 粉色yyds
屏幕音效：很好
拍照效果：超级清晰
运行速度：很快 不管是刷视频还是开网页"
254,星光色,256GB,以前用过5s和7，后来一直用华为，这次13性价比不错就入手了，苹果系统依然很好用，各方面很满意，屏幕流畅，电池耐用，一天只充一次电。京东快递挺快，第二天就收到了，京东上买了五六台手机了，大平台值得信赖。
255,粉色,256GB,"外形外观：外形设计刘海变小了，摄像头位置变化。
屏幕音效：屏幕上的材质有新的材料应用。12 0的刷新率会舒服很多
拍照效果：拍照的效果要比老款好很多
运行速度：运行速度比上一代要提升不少了。送人的很喜欢
待机时间：待机基本掉电不多。玩游戏，刷视频要比之前续航高很多"
256,星光色,128GB,"外形外观：很好很好看王守义十三香果然很香
屏幕音效：音质很好 比之前用的安卓好多啦
拍照效果：拍照很清楚  很好
运行速度：下载应用  手机运行速度也很快
第一次用IPhone 之前都是在用安卓 感觉很多很喜欢王守义十三香果然香"
257,午夜色,128GB,地址别搞错了，又得多等一天
258,午夜色,256GB,"外形外观：外型中规中矩，经典回归
屏幕音效：屏幕柔性三星?屏很好
拍照效果：原图一模一样，真实的人才最美
运行速度：性能强大
待机时间：惟一缺憾就是待机时间不长，中度玩手机一天一充！
其他特色：20瓦快充还是很快的，40分钟充80%的电"
259,蓝色,128GB,"外形外观：经典
屏幕音效：亮度适中，音响效果不错
拍照效果：效果棒棒哒
运行速度：运行正常没有发热现像
待机时间：待机时间很长"
260,午夜色,256GB,外形外观：外形非常好看，经典的方形块还是不错的，考虑到它的外形还有颜色都很喜欢用起来也很流畅选择了256G的，应该够用了。?屏幕音效：钢化磨合手机壳一起到的直接用局必须给京东赞拍照效果：拍照效果比之前更清晰了，颜@彩更饱和了，新片加强了，价格还是很优惠的。?运行速度：苹果系统依然是很流畅的运行速度不用担心一切完美。
261,蓝色,256GB,收到手机很兴奋，睡不着，第一次买这么贵的手机，开箱第一眼，很惊艳，做工精细，完美无瑕，贵有贵的道理。之前考虑过华为麒麟9000，无奈买不到5G，火龙888+持续高温pass，最终只有iphone13。阉割版A15性能功耗方面达到一个平衡，平时就玩下@，吃鸡，王者，戴上套都是温温的。续航不错，满电上班到下班不用充电，比iphone12强多了，不比4-5千毫安的安卓机差。拍照方面，之前用魅族16spro，感觉和iphone13差不多，肥宅很少拍照，就扫个码?。系统方面，第一次用iOS，很不习惯，下载应用只能在Appstore下载，很多收费应用，安卓白嫖习惯了，还有返回手势很不习惯，只能在左边向右划，flyme左右都可以划，这点比iOS好用多，左右单手操作都行。还有苹果的配件是真的贵，真的环保?
262,午夜色,256GB,"特意用了一段时间来评价。首先相信京东正品，还是不错的。
外形外观：外观好看，不是特别重。
屏幕音效：音效不错，屏幕也很灵敏
拍照效果：拍照好看，很还原，很高清。苹果，大家都懂！
运行速度：很快
待机时间：还可以，不太玩手机，一天没问题。
其他特色：总的来说很好，但是还是觉得应该支持国产华为，有一点小后悔。"
263,午夜色,128GB,特别满意的购物体验！很不错经过实测iPhone13 Pro Max与iPhone12 Pro Max在游戏中差距并不大，并且功耗是有所增大的。如果说平时玩游戏多的用户，iPhone12 Pro Max还是非常合适的，售价低的同时性能依然在线，大型游戏均能流畅运行；而对综合能力有着高要求的用户来说，本次iPhone13 Pro Max在屏幕、电池、性能、影像的提升则更能满足您，尤其是首次加入的高刷与智能分辨率在实际表现中还是非常香的。
264,星光色,256GB,ios系统一如既往的流畅，系统其实有很多的快捷操作，一般人会用的估计五分之一都没有。系统的封闭性没有安卓使用的那么多灵活性，同时ios的下的app比安卓下规范很多。airpods用在苹果手机上确实是绝配，同样的歌在ios听起来质感更强。屏幕优秀，续航也很给力。信号?是真的差呀，wifi信号差，比不上18年的安卓机，4G5G信号确实寒酸，嗐
265,星光色,256GB,外形外观：果粉转安卓再度转果粉，拿到手心情非常激动，大爱直角边，系统流畅，刚买没贴膜所以留指纹，商务日常使用完美。
266,星光色,256GB,"外形外观：外形小巧玲珑，外观简洁大方，配色朴素，而有内涵
屏幕音效：屏幕没有绿边，使用丝滑顺畅，打游戏也很舒服
拍照效果：拍照效果杠杠的，画质清晰，像素感人
运行速度：运行流畅，四个腿赶上了别人八个腿的速度
待机时间：够用
其他特色：充电时间不太快，通病"
267,星光色,256GB,"外形外观：之前用的是苹果8p，虽然尺寸大了，但屏幕看视频的区域更小了，不过不影响正常观感，反倒手机的轻巧让我感到很舒适。
屏幕音效：屏幕很好，没有网传很刺眼的感觉。
拍照效果：真的很棒，除了夜间有&ldquo;鬼影&rdquo;其它很棒
待机时间：强到离谱
运行速度：A15性能杠杠的"
